Borough Name,Job Type,BIN Number,Date,Estimated Job Cost,Latitude Point,Longitude Point,House Number,Street Name
Queens,A2,4099527,11/30/2016,16000,40.77882004,-73.845047,123-01,23 AVENUE
Manhattan,A2,1011145,11/30/2016,32500,40.73352051,-74.00475311,330,BLEECKER STREET
Manhattan,A2,1046919,11/30/2016,66900,40.78147888,-73.95684052,1070,PARK AVENUE
Manhattan,A2,1016928,11/30/2016,80000,40.74491882,-73.98536682,102,MADISON AVENUE
Queens,A2,4026088,11/30/2016,337432,40.75389099,-73.90374756,57-01,NORTHERN BOULEVARD
Queens,A1,4254282,11/30/2016,505960,40.67210007,-73.82398987,133-29,115 STREET
Brooklyn,A1,3172744,11/30/2016,1233786,40.61518097,-73.97279358,1419,EAST 2 STREET
Manhattan,A2,1042391,12/1/2016,850000,40.76628876,-73.96675873,605,PARK AVENUE
Queens,A2,4051518,12/2/2016,75000,40.73542023,-73.85045624,62-59,108 STREET
Queens,A2,4051521,12/2/2016,90000,40.73567963,-73.84911346,108-49,63 AVENUE
Queens,A2,4051520,12/2/2016,120000,40.73595047,-73.84925842,108-50,62 DRIVE
Queens,A2,4080161,12/2/2016,178000,40.71216965,-73.8276825,124-30,QUEENS BOULEVARD
Queens,A2,4171723,12/2/2016,224000,40.75955963,-73.73285675,245-02,HORACE HARDING EXPRESSWAY
Manhattan,A3,1004765,12/5/2016,14500,40.72666168,-73.97979736,155,AVENUE B
Manhattan,A2,1005654,12/5/2016,25000,40.7195015,-73.99404144,157,BOWERY
Manhattan,A2,1005655,12/5/2016,25000,40.71953964,-73.99403381,157 1/2,BOWERY
Brooklyn,A2,3336335,12/5/2016,46000,40.62606049,-74.0303421,8214,   3 AVENUE
Manhattan,A2,1014523,12/5/2016,120000,40.73825073,-73.99820709,133,WEST 14 STREET
Brooklyn,A2,3322577,12/5/2016,152000,40.67753983,-73.96961212,218,PROSPECT PLACE
Manhattan,A2,1015137,12/5/2016,702990,40.74805069,-73.99241638,345,7 AVENUE
Queens,A1,4124937,12/6/2016,150000,40.75558853,-73.78890228,45-01,192 STREET
Brooklyn,A2,3413890,12/6/2016,180000,40.70042038,-73.99182129,20,HENRY STREET
Brooklyn,A1,3036476,12/6/2016,600000,40.67197037,-73.93585968,1287,STERLING PLACE
Brooklyn,A2,3029312,12/6/2016,3930576,40.67504883,-73.96888733,50,PLAZA STREET EAST
Brooklyn,A2,3346033,12/7/2016,80000,40.65142822,-73.88604736,1170,PENNSYLVANIA AVENUE
Brooklyn,A2,3348862,12/7/2016,90000,40.65089035,-73.88564301,99,VANDALIA AVENUE
Brooklyn,A1,3247124,12/7/2016,299800,40.58638,-73.94625854,2220,VOORHIES AVENUE
Brooklyn,A1,3247125,12/7/2016,299800,40.58638,-73.94618988,2222,VOORHIES AVENUE
Manhattan,A2,1023725,12/7/2016,318700,40.76512146,-73.97795105,119,WEST   57 STREET
Manhattan,A2,1013540,12/7/2016,481000,40.751091,-73.99732971,358,WEST 31 STREET
Queens,A3,4434452,12/8/2016,19000,40.69787979,-73.90535736,16-47,WEIRFIELD STREET
Brooklyn,A2,3326206,12/8/2016,60000,40.67609024,-74.00788879,11,BUSH STREET
Queens,A1,4132757,12/8/2016,814520,40.77288055,-73.7938385,26-16,172 STREET
Manhattan,A2,1057014,12/9/2016,80000,40.80570984,-73.96502686,562,WEST 113 STREET
Manhattan,A3,1053469,12/12/2016,15000,40.80651855,-73.9432373,16,WEST 125 STREET
Bronx,A2,2093989,12/12/2016,30000,40.80244064,-73.91171265,800,EAST  136 STREET
Manhattan,A2,1063246,12/12/2016,57200,40.83385086,-73.94730377,632,WEST  156 STREET
